index,match_id,duration,first_blood_time,radiant_win,region
776,7702686097,1701,116,True,8
777,7702652392,1898,141,True,3
778,7702650896,3406,107,True,3
779,7702644507,2354,7,False,3
780,7702619232,2988,0,False,3
781,7702586943,1575,127,False,8
782,7702487170,2352,5,True,3
783,7702453309,2417,170,True,3
784,7702450557,1830,200,False,8
785,7702425491,2634,5,False,3
786,7702416925,2415,113,True,3
787,7702363891,1794,10,True,8
788,7702347870,1365,160,True,8
789,7702344755,2623,71,False,3
790,7702333315,3012,0,True,3
791,7702330411,2126,0,False,3
792,7702329438,2016,85,False,3
793,7702307284,998,140,False,8
794,7702298106,1962,204,True,3
795,7702269864,1822,6,False,3
796,7702257423,1535,489,False,3
797,7702250485,2069,78,False,8
798,7702232234,2557,1,True,8
799,7702226225,3306,66,True,5
800,7702223537,1812,69,True,3
801,7702215329,1577,0,False,3
802,7702201124,1736,247,False,8
803,7702200818,2167,141,False,5
804,7702196316,1831,43,True,3
805,7702177199,1723,326,True,3
806,7702171277,2471,123,False,8
807,7702164324,1765,14,True,3
808,7702163343,2470,93,False,5
809,7702162399,1432,140,True,5
810,7702160382,1460,10,False,3
811,7702159419,1856,235,True,8
812,7702130924,2397,200,True,3
813,7702114850,1672,103,False,3
814,7702106032,2093,116,True,8
815,7702096323,1490,10,True,5
816,7702092264,3239,0,False,8
817,7702087166,2131,465,True,3
818,7702070637,1942,132,False,3
819,7702064341,1972,143,True,8
820,7702054263,1852,123,True,3
821,7702052346,2263,119,False,5
822,7702051192,1749,129,False,5
823,7702045083,2533,8,True,8
824,7702037875,1806,352,False,3
825,7702034065,1621,146,True,8
826,7702027127,1371,64,True,3
827,7702007407,2154,0,True,5
828,7702000559,1916,173,True,8
829,7701993362,1970,99,False,3
830,7701992634,1898,329,False,3
831,7701969739,1560,256,False,8
832,7701967358,1531,121,True,3
833,7701963174,1859,0,True,3
834,7701938184,1601,120,True,3
835,7701836733,1742,150,False,3
836,7701807077,2089,15,True,3
837,7701774036,2197,169,False,3
838,7701737158,2299,0,True,3
839,7701722547,2502,168,False,3
840,7701721032,1870,5,True,3
841,7701710708,3069,359,True,3
842,7701694524,1944,197,True,3
843,7701650894,2358,352,True,3
844,7701650681,1783,349,False,3
845,7701649950,2162,114,True,3
846,7701648008,2065,0,True,unknown
847,7701632155,3052,5,True,3
848,7701598286,1600,3,True,3
849,7701598136,553,0,True,unknown
850,7701479793,3774,6,False,3
851,7701474828,4322,0,False,3
852,7701438466,2026,98,False,3
853,7701407156,1526,141,False,2
854,7701334360,2301,8,False,3
855,7701324274,3678,0,False,3
856,7701316798,3819,322,True,3
857,7701304414,2110,71,True,3
858,7701298346,1461,3,False,2
859,7701257984,1937,11,True,3
860,7701233128,1641,0,True,3
861,7701137365,1944,52,True,3
862,7701135629,1488,0,False,3
863,7701081341,4587,214,True,3
864,7701053090,3588,100,True,3
865,7701041455,2427,0,True,3
866,7700971006,2091,19,False,8
867,7700916291,2339,111,False,3
868,7700912604,2957,338,True,3
